测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_autoconf213_autoupdate-2.13,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/autoconf213/oe_test_autoconf213_autoupdate-2.13/2023-05-25-13:38:48.log,None
,oe_test_autoconf213_ifnames-2.13,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/autoconf213/oe_test_autoconf213_ifnames-2.13/2023-05-25-13:41:37.log,None
bcrypt,oe_test_bcrypt,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/bcrypt/oe_test_bcrypt/2023-05-25-13:25:45.log,None
genders,oe_test_genders,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/genders/oe_test_genders/2023-06-26-03:20:46.log,None
tinycdb,oe_test_tinycdb_cdb_01,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/tinycdb/oe_test_tinycdb_cdb_01/2023-06-26-03:08:30.log,None
,oe_test_tinycdb_cdb_02,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/tinycdb/oe_test_tinycdb_cdb_02/2023-06-26-03:10:04.log,None
leptonica,oe_test_leptonica,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/leptonica/oe_test_leptonica/2023-06-26-03:25:40.log,None
perl-File-MimeInfo,oe_test_perl-File-MimeInfo_mimetype_03,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/perl-File-MimeInfo/oe_test_perl-File-MimeInfo_mimetype_03/2023-06-26-02:20:22.log,None
,oe_test_perl-File-MimeInfo_mimetype_04,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/perl-File-MimeInfo/oe_test_perl-File-MimeInfo_mimetype_04/2023-06-26-02:22:46.log,None
,oe_test_perl-File-MimeInfo_mimetype_01,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/perl-File-MimeInfo/oe_test_perl-File-MimeInfo_mimetype_01/2023-06-26-02:15:16.log,None
,oe_test_perl-File-MimeInfo_mimeopen_01,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/perl-File-MimeInfo/oe_test_perl-File-MimeInfo_mimeopen_01/2023-06-26-02:26:03.log,None
,oe_test_perl-File-MimeInfo_mimetype_02,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/perl-File-MimeInfo/oe_test_perl-File-MimeInfo_mimetype_02/2023-06-26-02:18:00.log,None
,oe_test_perl-File-MimeInfo_mimeopen_02,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/perl-File-MimeInfo/oe_test_perl-File-MimeInfo_mimeopen_02/2023-06-26-02:28:56.log,None
assimp,oe_test_assimp_01,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/assimp/oe_test_assimp_01/2023-06-26-02:40:16.log,None
,oe_test_assimp_02,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/assimp/oe_test_assimp_02/2023-06-26-02:42:27.log,None
yelftools,oe_test_pyelftools_pyreadelf_03,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/pyelftools/oe_test_pyelftools_pyreadelf_03/2023-06-22-23:38:13.log,None
,oe_test_pyelftools_pyreadelf_02,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/pyelftools/oe_test_pyelftools_pyreadelf_02/2023-06-22-23:35:17.log,None
,oe_test_pyelftools_pyreadelf_01,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/pyelftools/oe_test_pyelftools_pyreadelf_01/2023-06-22-23:32:12.log,None
nginx-cli,oe_test_nginx_cli,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/nginx-cli/oe_test_nginx_cli/2023-06-23-00:00:22.log,None
scrub_2.5.2,oe_test_scrub_2.5.2_base_02,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/scrub_2.5.2/oe_test_scrub_2.5.2_base_02/2023-06-22-23:46:45.log,None
,oe_test_scrub_base_01,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/scrub_2.5.2/oe_test_scrub_base_01/2023-06-22-23:44:19.log,None
clang,oe_test_clang_01,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/clang/oe_test_clang_01/2023-05-25-14:15:53.log,None
,oe_test_clang_02,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/clang/oe_test_clang_02/2023-05-25-14:23:46.log,None
,oe_test_clang_03,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/clang/oe_test_clang_03/2023-05-25-14:30:41.log,None
colm,oe_test_colm,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/colm/oe_test_colm/2023-05-25-17:42:11.log,None
discount,oe_test_discount-makepage_01,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/discount/oe_test_discount-makepage_01/2023-05-25-21:58:08.log,None
,oe_test_discount-mkd2html_01,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/discount/oe_test_discount-mkd2html_01/2023-05-25-21:59:46.log,None
,oe_test_discount-theme_01,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/discount/oe_test_discount-theme_01/2023-05-25-22:01:26.log,None
,oe_test_discount_markdown_01,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/discount/oe_test_discount_markdown_01/2023-05-25-21:54:33.log,None
,oe_test_discount_markdown_02,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/discount/oe_test_discount_markdown_02/2023-05-25-21:56:25.log,None
docbook-utils,oe_test_docbook-utils_jw_01,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/docbook-utils/oe_test_docbook-utils_jw_01/2023-05-25-22:49:21.log,None
,oe_test_docbook-utils_jw_02,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/docbook-utils/oe_test_docbook-utils_jw_02/2023-05-25-22:53:32.log,None
