BaseOS-Name
gamin
openjpeg
iSulad-img
latrace
stratovirt
shim
prefetch_tuning
libwd
libkae
kata-containers
kae_driver
edk2
zziplib
zstd
zsh
zlib
zip
zenity
yp-tools
yelp-xsl
yelp
xz
xvattr
xterm
xrestop
xorg-x11-xkb-utils
xorg-x11-xinit
xorg-x11-xauth
xorg-x11-utils
xorg-x11-server-utils
xorg-x11-server
xorg-x11-proto-devel
xorg-x11-font-utils
xorg-x11-fonts
xorg-x11-drv-wacom
xorg-x11-drv-v4l
xorg-x11-drv-nouveau
xorg-x11-drv-libinput
xorg-x11-drv-fbdev
xorg-x11-drv-evdev
xorg-x11-drv-dummy
xorg-x11-drv-ati
xorg-x11-drivers
xmlto
xmlsec1
xmlrpc-c
xkeyboard-config
xfsdump
xdg-utils
xdg-user-dirs-gtk
xdg-user-dirs
xdg-desktop-portal-gtk
xdg-desktop-portal
xdg-dbus-proxy
xcb-util
Xaw3d
x3270
wqy-zenhei-fonts
wqy-microhei-fonts
wpebackend-fdo
words
woff2
which
wget
webrtc-audio-processing
webkit2gtk3
wayland-protocols
wayland
vulkan-loader
vte291
volume_key
virt-what
virt-manager
virglrenderer
vino
vinagre
vim
v4l-utils
utf8proc
ustr
userspace-rcu
usermode
usbutils
usbredir
usb_modeswitch-data
usb_modeswitch
urw-base35-fonts
unzip
unixODBC
units
tzdata
trousers
tree
tracker-miners
tracker3-miners
tracker3
tracker
traceroute
trace-cmd
tpm-quote-tools
tpm2-tss
tpm2-tools
tpm2-abrmd
totem-pl-parser
tokyocabinet
tmux
tk
tipcutils
time
tibetan-machine-uni-fonts
thin-provisioning-tools
thai-scalable-fonts
texlive-split-z
texlive-split-y
texlive-split-x
texlive-split-w
texlive-split-v
texlive-split-u
texlive-split-t
texlive-split-s
texlive-split-r
texlive-split-p
texlive-split-o
texlive-split-n
texlive-split-m
texlive-split-l
texlive-split-k
texlive-split-j
texlive-split-i
texlive-split-h
texlive-split-f
texlive-split-e
texlive-split-d
texlive-split-c
texlive-split-b
texlive-split-a
texlive-filesystem
texlive-base
texinfo
telepathy-logger
telepathy-glib
telepathy-filesystem
tcsh
tcpdump
tcp_wrappers
tcl
tbb
tar
taglib
sysfsutils
syscontainer-tools
symlinks
subversion
subunit
strace
stix-fonts
startup-notification
sscg
squashfs-tools
spice
speexdsp
speex
source-highlight
sound-theme-freedesktop
softhsm
snappy
smp_utils
smc-fonts
skopeo
sil-scheherazade-fonts
sil-padauk-fonts
sil-nuosu-fonts
sil-abyssinica-fonts
sharutils
shared-mime-info
shadow
sgpio
sgml-common
sg3_utils
setup
setserial
setroubleshoot-plugins
setroubleshoot
setools
selinux-policy
sed
sdparm
SDL2
SDL
screen
scipy
scap-security-guide
sblim-sfcc
sbc
satyr
samyak-fonts
saab-fonts
runc
rpmrebuild
rpm
rootfiles
rest
recode
readline
re2
rarian
qt5-qttranslations
qt5-qtdoc
qt5-qtbase
qt5
qrencode
pyxattr
pytz
python-xgboost
python-urllib3
python-urlgrabber
python-toml
python-threadpoolctl
python-tempita
python-systemd
python-sortedcontainers
python-slip
python-six
python-simpleline
python-setuptools
python-scikit-optimize
python-scikit-learn
python-schedutils
python-rpm-generators
python-requests-ftp
python-requests-file
python-requests
python-pyudev
python-pytest-xdist
python-pytest-forked
python-pysocks
python-pyrsistent
python-pydbus
python-pycurl
python-pycparser
python-pycdlib
python-pyaml
python-py
python-productmd
python-prettytable
python-ply
python-pluggy
python-pip
python-pid
python-paste
python-pandas
python-packaging
python-ordered-set
python-oauthlib
python-ntplib
python-meh
python-markupsafe
python-mako
python-lxml
python-linux-procfs
python-kmod
python-jwt
python-jsonschema
python-jsonpointer
python-jsonpatch
python-joblib
python-jinja2
python-itsdangerous
python-IPy
python-inotify
python-iniparse
python-iniconfig
python-idna
python-hypothesis
python-flask-restful
python-flask
python-execnet
python-ethtool
python-dmidecode
python-distro
python-dict2xml
python-decorator
python-dateutil
python-dasbus
python-cryptography
python-crypto
python-configobj
python-click
python-chardet
python-cffi
python-beaker
python-attrs
python-asn1crypto
python-argcomplete
python-apipkg
python-aniso8601
python3
pytest
pyserial
pyparted
pyparsing
pyOpenSSL
pykickstart
pygobject3
pycairo
pyatspi
pulseaudio
publicsuffix-list
psmisc
protobuf-c
procmail
ppp
popt
poppler-data
polkit-pkla-compat
pkcs11-helper
pipewire
pinfo
pinentry
perl-XML-XPath
perl-XML-Writer
perl-XML-Simple
perl-XML-SAX-Base
perl-XML-SAX
perl-XML-Parser
perl-XML-NamespaceSupport
perl-WWW-RobotRules
perl-version
perl-URI
perl-Unicode-Normalize
perl-Unicode-Collate
perl-Try-Tiny
perl-Time-Local
perl-Time-HiRes
perl-TimeDate
perl-threads-shared
perl-threads
perl-Thread-Queue
perl-Text-Unidecode
perl-Text-Tabs-Wrap
perl-Text-ParseWords
perl-Text-Diff
perl-Text-Balanced
perl-Test-Simple
perl-Test-Harness
perl-TermReadKey
perl-Term-Cap
perl-Term-ANSIColor
perl-Sys-Syslog
perl-Storable
perl-Socket
perl-Scalar-List-Utils
perl-Pod-Usage
perl-Pod-Simple
perl-Pod-Perldoc
perl-Pod-Parser
perl-podlators
perl-Pod-Escapes
perl-Pod-Checker
perl-Perl-OSType
perl-PerlIO-via-QuotedPrint
perl-perlfaq
perl-PathTools
perl-parent
perl-Params-Check
perl-NTLM
perl-Net-SSLeay
perl-Net-HTTP
perl-Net-Daemon
perl-Mozilla-CA
perl-Module-Metadata
perl-Module-Load-Conditional
perl-Module-Load
perl-Module-CoreList
perl-MIME-Base64
perl-Math-BigRat
perl-Math-BigInt-FastCalc
perl-Math-BigInt
perl-LWP-MediaTypes
perl-Locale-Maketext
perl-Locale-Codes
perl-List-MoreUtils-XS
perl-List-MoreUtils
perl-libnet
perl-JSON-PP
perl-JSON
perl-IPC-SysV
perl-IPC-System-Simple
perl-IPC-Cmd
perl-IO-Socket-SSL
perl-IO-Socket-IP
perl-IO-HTML
perl-IO-Compress
perl-HTTP-Tiny
perl-HTTP-Negotiate
perl-HTTP-Message
perl-HTTP-Date
perl-HTTP-Cookies
perl-HTML-Tagset
perl-HTML-Parser
perl-Getopt-Long
perl-generators
perl-Filter-Simple
perl-Filter
perl-File-Which
perl-File-Temp
perl-File-Path
perl-File-Listing
perl-File-HomeDir
perl-File-Fetch
perl-Fedora-VSP
perl-ExtUtils-ParseXS
perl-ExtUtils-Manifest
perl-ExtUtils-MakeMaker
perl-ExtUtils-Install
perl-Exporter-Tiny
perl-Exporter
perl-experimental
perl-Error
perl-Env
perl-Encode-Locale
perl-Encode
perl-Digest-SHA
perl-Digest-MD5
perl-Digest-HMAC
perl-Digest
perl-Devel-PPPort
perl-DBI
perl-DBD-SQLite
perl-DBD-MySQL
perl-DBD-MariaDB
perl-Data-Dumper
perl-Data-Dump
perl-CPAN-Meta-YAML
perl-CPAN-Meta-Requirements
perl-CPAN-Meta
perl-constant
perl-Config-Perl-V
perl-Compress-Raw-Zlib
perl-Compress-Raw-Bzip2
perl-Carp
perl-bignum
perl-B-Debug
perl-autodie
perl-Archive-Tar
perl-Algorithm-Diff
perl
perftest
pcre
pciutils
patch
passwd
parted
paratype-pt-sans-fonts
pango
paktype-tehreer-fonts
paktype-naskh-basic-fonts
paktype-naqsh-fonts
p11-kit
overpass-fonts
os-prober
osinfo-db-tools
osinfo-db
orc
ORBit2
opus
openssl-pkcs11
opensc
openjpeg2
openEuler-rpm-config
openEuler-repos
openEuler-release
openEuler-logos
openEuler-latest-release
openEuler-indexhtml
numpy
numactl
ntpstat
nss-pem
nss-mdns
nss_nis
npth
notification-daemon
nmap
nfs4-acl-tools
newt
network-manager-applet
nettle
ndctl
ncurses
ncompress
navilu-fonts
nautilus
nano
nafees-web-naskh-fonts
mutter
mtr
mtools
mtdev
mstflint
mpfr
mozjs78
mozilla-filesystem
mokutil
mod_security
mod_http2
mod_fcgid
mobile-broadband-provider-info
minicom
metacity
mesa-libGLU
mesa-demos
mesa
mercurial
mcpp
mariadb-connector-c
man-pages
make
mailx
mailcap
madan-fonts
m4
lzop
lzo
lz4
lxcfs-tools
luksmeta
lua-socket
lua-posix
lua-lpeg
lua-json
lua-expat
lua
lttng-ust
lsscsi
lsof
lshw
lrzsz
low-memory-monitor
logrotate
lockdev
llvm
linux-firmware
linuxconsoletools
libyaml
libXxf86vm
libXxf86dga
libXvMC
libXv
libXtst
libXt
libxshmfence
libXres
libXrender
libXrandr
libXpm
libXmu
libxml2
libxklavier
libxkbfile
libxkbcommon
libXinerama
libXi
libXft
libXfont2
libXfixes
libXext
libXdmcp
libXdamage
libXcursor
libxcrypt
libXcomposite
libxcb
libXaw
libXau
libx86emu
libX11
libwpe
libwnck3
libwebsockets
libwebp
libwacom
libvorbis
libvisual
libvirt-python
libverto
libuv
libutempter
libuser
libusbx
libusbmuxd
libusb
libunwind
libtool
libtommath
libtomcrypt
libtirpc
libtiff
libtheora
libthai
libtevent
libteam
libtasn1
libtalloc
libstemmer
libssh2
libssh
libspectre
libsoup
libsolv
libsndfile
libSM
libsigsegv
lib-shim-v2
libsexy
libserf
libsepol
libsemanage
libselinux
libsecret
libseccomp
libsamplerate
librsvg2
libreport
librepo
librelp
libquvi-scripts
libquvi
libqmi
libpwquality
libpsl
libproxy
libpq
libpng
libplist
libpipeline
libpfm
libpeas
libpciaccess
libpcap
libpaper
libogg
liboauth
libnsl2
libnotify
libnma
libnl3
libnftnl
libnfnetlink
libnetfilter_queue
libnetfilter_conntrack
libnet
libndp
libmtp
libmspack
libmpc
libmodulemd
libmnl
libmng
libmetalink
libmediaart
libmbim
libmaxminddb
libksba
libkcapi
libjpeg-turbo
libisofs
libisoburn
libiscsi
libiptcdata
libinput
libimobiledevice
libimagequant
libijs
libieee1284
libidn2
libidn
libIDL
libICE
libical
libhugetlbfs
libhandy
libgxps
libgweather
libgusb
libgudev
libgtop2
libgsf
libgphoto2
libgnomekbd
libgnomecanvas
libgnome
libglvnd
libglade2
libgexiv2
libgee
libgdata
libgcrypt
libfprint
libfontenc
libffi
libfastjson
libexif
libevhtp
libevent
libevdev
libev
libestr
liberation-fonts
libepoxy
libedit
libecap
libdvdread
libdrm
libdnf
libdnet
libdmx
libdbi
libdb
libdazzle
libdatrie
libdaemon
libconfig
libcomps
libcdio-paranoia
libcdio
libcap-ng
libbytesize
libburn
libbonoboui
libbonobo
libblockdev
libatasmart
libasyncns
libassuan
libart_lgpl
libaio
libaec
lftp
less
ldns
lcr
lcms2
lato-fonts
lapack
langtable
kurdit-unikurd-web-fonts
kmod-kvdo
kiwi
keybinder3
kdump-anaconda-addon
kde-settings
kde-filesystem
kbd
kacst-fonts
julietaula-montserrat-fonts
json-glib
jsoncpp
json-c
jose
jomolhari-fonts
jimtcl
jbigkit
jbig2dec
jansson
iw
ivtv-firmware
isomd5sum
iso-codes
iptstate
iptraf-ng
iproute
ipcalc
iotop
ima-evm-utils
iio-sensor-proxy
icu
ibus-table-array30
ibus-table
ibus-sayura
ibus
i2c-tools
hyphen
hwinfo
hwdata
hunspell-en
hunspell
http-parser
hicolor-icon-theme
hdf5
harfbuzz
gzip
gvfs
gv
gupnp
guile
gubbi-fonts
gtk-vnc
gtk3
gtk2
gstreamer1-plugins-base
gstreamer1
gssdp
gspell
gsound
gsm
gsettings-desktop-schemas
grubby
grpc
groff
grilo
grep
graphite2
graphene
gpgme
gperftools
google-noto-emoji-fonts
google-noto-cjk-fonts
google-droid-fonts
golang
gobject-introspection
gnutls
gnupg2
gnu-free-fonts
gnome-vfs2
gnome-user-docs
gnome-themes-standard
gnome-terminal
gnome-shell-extensions
gnome-settings-daemon
gnome-session
gnome-screenshot
gnome-packagekit
gnome-online-accounts
gnome-menus
gnome-keyring
gnome-initial-setup
gnome-icon-theme
gnome-getting-started-docs
gnome-font-viewer
gnome-disk-utility
gnome-dictionary
gnome-desktop3
gnome-control-center
gnome-color-manager
gnome-bluetooth
gnome-autoar
gmp
gl-manpages
glib-networking
glew
gjs
giflib
gfs2-utils
gflags
gettext
GeoIP-GeoLite-data
GeoIP
geocode-glib
gdk-pixbuf2
gdisk
gdbm
gd
gcr
GConf2
gcc
gc
gawk
fxload
fuse3
fuse
ftp
fros
freetype
freerdp
freeglut
fonts-rpm-macros
fontconfig
fontawesome-fonts
fltk
flex
fipscheck
findutils
filesystem
file-roller
file
expect
expat
exiv2
exempi
evolution-data-server
evince
ethtool
esc
eog
environment-modules
enchant
emacs
elfutils
efivar
efi-rpm-macros
efibootmgr
ed
dtc
drpm
dropwatch
dosfstools
docker
docbook-style-xsl
docbook-dtds
dnf-plugins-core
dmraid
ding-libs
diffstat
dialog
desktop-file-utils
dejavu-fonts
dconf-editor
dconf
dbus-python
dbus-glib
curl
cups-pk-helper
CUnit
ctags
crypto-policies
crash-trace-command
crash-gcore-command
crash
coreutils
copy-jdk-configs
convmv
container-selinux
containernetworking-plugins
color-filesystem
colord-gtk
cogl
clutter-gtk
clutter-gst3
clutter
clibcni
cjkuni-ukai-fonts
cifs-utils
chkconfig
cheese
checkpolicy
check
cdrkit
cdparanoia
ccid
c-ares
cairo
ca-certificates
busybox
bubblewrap
btrfs-progs
brotli
bridge-utils
bpg-fonts
boost
blktrace
bison
bind-dyndb-ldap
bc
bash-completion
bash
basesystem
babel
autogen
autoconf
authselect
augeas
audiofile
A-Tune
at-spi2-core
at-spi2-atk
atk
asciidoc
argon2
apr-util
anaconda-user-help
alsa-tools
alsa-lib
alsa-firmware
aide
adwaita-icon-theme
adobe-mappings-pdf
adobe-mappings-cmap
adcli
abseil-cpp
abattis-cantarell-fonts
