测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_firewalld_add_port,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_add_port/2023-05-26-15:21:23.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_add_service,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_add_service/2023-05-26-15:26:04.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_add_sourceip,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_add_sourceip/2023-05-26-15:28:36.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_add_sourceport,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_add_sourceport/2023-05-26-15:29:01.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_addport_udp,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_addport_udp/2023-05-26-15:23:54.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_allow_zones,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_allow_zones/2023-05-26-15:29:28.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_block_icmp,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_block_icmp/2023-05-26-15:32:25.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_change_interface,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_change_interface/2023-05-26-15:32:54.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_change_xml,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_change_xml/2023-05-26-15:35:18.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
,oe_test_firewalld_directrule_acceptdport,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/firewalld/oe_test_firewalld_directrule_acceptdport/2023-05-26-15:37:44.log,测试套问题，没有安装测试对象 firewalld 软件包， x86 和 riscv 原因一致
