测试套/软件包名,测试用例名,日志文件,原因,Broken testcase,pkg not found,preinstall absent,kernel module absent,file missing,systemd unit restart failure,systemd unit runtime error,systemd unit enable failure,timeout
admin_guide,oe_test_nmcli_mod_attribute,2019-08-14-15_33_51.log,,0,0,0,0,0,0,0,0,0
admin_guide,oe_test_ip_cmd_addr,2019-08-14-15_50_10.log,,0,0,0,0,0,0,0,0,0
admin_guide,oe_test_nmcli_use_bonding,2019-08-14-15_37_24.log,"preinstall absent
kernel module absent
",0,0,1,1,0,0,0,0,0
admin_guide,oe_test_nmcli_config_static_IP,2019-08-14-15_36_53.log,,0,0,0,0,0,0,0,0,0
admin_guide,oe_test_mysql_backup_restore_db,2019-08-14-15_07_17.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
admin_guide,oe_test_ip_config_multiple_address,2019-08-14-15_51_40.log,,0,0,0,0,0,0,0,0,0
admin_guide,oe_test_postgresql_backup_restore_db,2019-08-14-15_30_43.log,"file missing
",0,0,0,0,1,0,0,0,0
admin_guide,oe_test_httpd_transfer_start_stop_restart,2019-08-14-15_10_03.log,"file missing
",0,0,0,0,1,0,0,0,0
admin_guide,oe_test_vsftpd_conf,2019-08-14-15_49_04.log,"file missing
",0,0,0,0,1,0,0,0,0
admin_guide,oe_test_mysql_create_view_select_delete_db,2019-08-14-15_16_27.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
admin_guide,oe_test_lvm_lvreduce,2023-05-24-18_36_47.log,,0,0,0,0,0,0,0,0,0
admin_guide,oe_test_mysql_create_view_user,2019-08-14-15_14_51.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
admin_guide,oe_test_lvm_auto_mount,2023-05-24-19_11_59.log,,0,0,0,0,0,0,0,0,0
admin_guide,oe_test_postgresql_create_run_delete,2019-08-14-15_32_30.log,"file missing
",0,0,0,0,1,0,0,0,0
admin_guide,oe_test_mariadb_install_run_uninstall,2019-08-14-15_17_58.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
admin_guide,oe_test_lvm_pvcreate,2019-08-14-15_06_33.log,,0,0,0,0,0,0,0,0,0
admin_guide,oe_test_dnf_create_local_repository,2019-08-14-15_27_43.log,"file missing
",0,0,0,0,1,0,0,0,0
admin_guide,oe_test_lvm_lvcreate_lvdisplay,2023-05-24-19_10_09.log,,0,0,0,0,0,0,0,0,0
admin_guide,oe_test_basic_date_common,2023-05-24-18_27_45.log,,0,0,0,0,0,0,0,0,0
admin_guide,oe_test_ip_config_static_route,2019-08-14-15_52_20.log,,0,0,0,0,0,0,0,0,0
admin_guide,oe_test_mariadb_backup_restore_db,2019-08-14-15_23_26.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
admin_guide,oe_test_lvm_lvextend,2019-08-14-15_04_54.log,,0,0,0,0,0,0,0,0,0
admin_guide,oe_test_mysql_modify_delete_user,2019-08-14-15_39_33.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
admin_guide,oe_test_lvm_shrink_roll_group,2019-08-14-15_02_12.log,,0,0,0,0,0,0,0,0,0
admin_guide,oe_test_postgresql_create_delete_db,2019-08-14-15_35_37.log,"file missing
",0,0,0,0,1,0,0,0,0
admin_guide,oe_test_lvm_lvresize_reduce,2019-08-14-15_03_35.log,"timeout
",0,0,0,0,0,0,0,0,1
admin_guide,oe_test_ip_cmd_rule,2019-08-14-15_50_55.log,,0,0,0,0,0,0,0,0,0
admin_guide,oe_test_ip_config_static_address,2019-08-14-15_52_00.log,,0,0,0,0,0,0,0,0,0
admin_guide,oe_test_mysql_grant_delete_authorization,2019-08-14-15_20_32.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
