测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_autoconf213_autoreconf-2.13_05,success,./mugen-riscv/logs/autoconf213/oe_test_autoconf213_autoreconf-2.13_05/2023-05-25-13:33:29.log,None
,oe_test_autoconf213_autoreconf-2.13_06,success,./mugen-riscv/logs/autoconf213/oe_test_autoconf213_autoreconf-2.13_06/2023-05-25-13:36:18.log,None
,oe_test_autoconf213_autoupdate-2.13,success,./mugen-riscv/logs/autoconf213/oe_test_autoconf213_autoupdate-2.13/2023-05-25-13:38:48.log,None
,oe_test_autoconf213_ifnames-2.13,success,./mugen-riscv/logs/autoconf213/oe_test_autoconf213_ifnames-2.13/2023-05-25-13:41:37.log,None
avahi,oe_test_service_avahi-daemon,success,./mugen-riscv/logs/avahi/oe_test_service_avahi-daemon/2023-05-25-13:20:32.log,None
,oe_test_service_avahi-dnsconfd,success,./mugen-riscv/logs/avahi/oe_test_service_avahi-dnsconfd/2023-05-25-13:26:31.log,None
,oe_test_socket_avahi-daemon,success,./mugen-riscv/logs/avahi/oe_test_socket_avahi-daemon/2023-05-25-13:31:57.log,None
babeltrace,oe_test_babeltrace,success,./mugen-riscv/logs/babeltrace/oe_test_babeltrace/2023-05-25-16_26_37.log,None
bcrypt,oe_test_bcrypt,success,./mugen-riscv/logs/bcrypt/oe_test_bcrypt/2023-05-25-13:25:45.log,None
bind,oe_test_service_named-chroot-setup,success,./mugen-riscv/logs/bind/oe_test_service_named-chroot-setup/2023-05-25-13:34:00.log,None
,oe_test_service_named-chroot,success,./mugen-riscv/logs/bind/oe_test_service_named-chroot/2023-05-25-13:40:58.log,None
,oe_test_service_named-setup-rndc,success,./mugen-riscv/logs/bind/oe_test_service_named-setup-rndc/2023-05-25-13:48:54.log,None
,oe_test_service_named,success,./mugen-riscv/logs/bind/oe_test_service_named/2023-05-25-13:55:28.log,None
binutils,oe_test_binutils_addr2line,success,./mugen-riscv/logs/binutils/oe_test_binutils_addr2line/2023-05-25-16_33_35.log,None
,oe_test_binutils_ar,success,./mugen-riscv/logs/binutils/oe_test_binutils_ar/2023-05-25-16_34_09.log,None
