Test Start Time: Fri May 19 13:36:45 2023
-----------------------------------------
Testcase                                           Result     Exit Value
fcntl03                                            CONF       32   
fcntl03_64                                         CONF       32   
fcntl04                                            CONF       32   
fcntl04_64                                         CONF       32   
fcntl05                                            CONF       32   
fcntl05_64                                         CONF       32   
fcntl07                                            CONF       32   
fcntl07_64                                         CONF       32   
fcntl08                                            CONF       32   
fcntl08_64                                         CONF       32   
fcntl09                                            CONF       32   
fcntl09_64                                         CONF       32   
fcntl10                                            CONF       32   
fcntl10_64                                         CONF       32   
fcntl11                                            CONF       32   
fcntl11_64                                         CONF       32   
fcntl12                                            CONF       32   
fcntl12_64                                         CONF       32   
fcntl13                                            CONF       32   
fcntl13_64                                         CONF       32   
fcntl14                                            CONF       32   
fcntl14_64                                         CONF       32   
fcntl15                                            CONF       32   
fcntl15_64                                         CONF       32   
fcntl16                                            CONF       32   
fcntl16_64                                         CONF       32   
fcntl17                                            CONF       32   
fcntl17_64                                         CONF       32   
fcntl18                                            CONF       32   
fcntl18_64                                         CONF       32   
fcntl19                                            CONF       32   
fcntl19_64                                         CONF       32   
fcntl20                                            CONF       32   
fcntl20_64                                         CONF       32   
fcntl21                                            CONF       32   
fcntl21_64                                         CONF       32   
fcntl22                                            CONF       32   
fcntl22_64                                         CONF       32   
fcntl23                                            CONF       32   
fcntl23_64                                         CONF       32   
fcntl24                                            CONF       32   
fcntl24_64                                         CONF       32   
fcntl25                                            CONF       32   
fcntl25_64                                         CONF       32   
fcntl26                                            CONF       32   
fcntl26_64                                         CONF       32   
fcntl27                                            CONF       32   
fcntl27_64                                         CONF       32   
fcntl28                                            CONF       32   
fcntl28_64                                         CONF       32   
fcntl29                                            CONF       32   
fcntl29_64                                         CONF       32   
fcntl30                                            CONF       32   
fcntl30_64                                         CONF       32   
fcntl31                                            CONF       32   
fcntl31_64                                         CONF       32   
fcntl32                                            CONF       32   
fcntl32_64                                         CONF       32   
fcntl33                                            CONF       32   
fcntl33_64                                         CONF       32   
fcntl34                                            CONF       32   
fcntl34_64                                         CONF       32   
fcntl35                                            CONF       32   
fcntl35_64                                         CONF       32   
fcntl36                                            CONF       32   
