测试套/软件包名,测试用例名,状态,日志文件,原因
ceph,oe_test_target_ceph-fuse,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/ceph/oe_test_target_ceph-fuse/2023-05-25-14:09:22.log,pkg not found/file missing
,oe_test_target_ceph-mds,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/ceph/oe_test_target_ceph-mds/2023-05-25-14:11:16.log,pkg not found/file missing
,oe_test_target_ceph-mgr,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/ceph/oe_test_target_ceph-mgr/2023-05-25-14:13:09.log,pkg not found/file missing
,oe_test_target_ceph-mon,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/ceph/oe_test_target_ceph-mon/2023-05-25-14:15:26.log,pkg not found/file missing
,oe_test_target_ceph-osd,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/ceph/oe_test_target_ceph-osd/2023-05-25-14:17:24.log,pkg not found/file missing
,oe_test_target_ceph-radosgw,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/ceph/oe_test_target_ceph-radosgw/2023-05-25-14:19:20.log,pkg not found/file missing
,oe_test_target_ceph-rbd-mirror,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/ceph/oe_test_target_ceph-rbd-mirror/2023-05-25-14:21:20.log,pkg not found/file missing
chrony,oe_test_service_chronyd,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/chrony/oe_test_service_chronyd/2023-05-25-14:08:06.log,preinstall absent/systemd unit restart failure/systemd unit runtime error
cryptsetup,oe_test_encrypt_data,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/cryptsetup/oe_test_encrypt_data/2023-05-31-17:02:28.log,
,oe_test_luks_encrypted,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/cryptsetup/oe_test_luks_encrypted/2023-05-31-17:04:33.log,
,oe_test_use_luks,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/cryptsetup/oe_test_use_luks/2023-05-31-17:07:04.log,
dhcp,oe_test_service_dhcrelay,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/dhcp/oe_test_service_dhcrelay/2023-05-25-21:40:24.log,preinstall absent/systemd unit restart failure/systemd unit runtime error
dnf,oe_test_dnf_all-repos,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/dnf/oe_test_dnf_all-repos/2023-05-25-16_43_17.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_enhancement_exclude,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/dnf/oe_test_dnf_enhancement_exclude/2023-05-25-17_11_41.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_makecache_clean,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/dnf/oe_test_dnf_makecache_clean/2023-05-25-16_56_12.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_nobest_nodocs_nogpgcheck,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/dnf/oe_test_dnf_nobest_nodocs_nogpgcheck/2023-05-25-17_16_55.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_priority,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/dnf/oe_test_dnf_priority/2023-05-25-17_18_28.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_provides_randomwait,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/dnf/oe_test_dnf_provides_randomwait/2023-05-25-17_19_15.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_repeat-install,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/dnf/oe_test_dnf_repeat-install/2023-05-25-17_23_20.log,oerv 和 x86 的软件源结构不同
dracut,oe_test_service_dracut-shutdown,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/dracut/oe_test_service_dracut-shutdown/2023-05-26-00:26:32.log,preinstall absent/systemd unit restart failure/systemd unit runtime error
fcoe-utils,oe_test_service_fcoe,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/fcoe-utils/oe_test_service_fcoe/2023-05-26-14:16:43.log,Job for fcoe.service failed because the control process exited with error code.
