测试套/软件包名,测试用例名,状态,日志文件,原因,x86 日志文件,x86 原因
ocaml-22.03,oe_test_ocaml_ocaml,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocaml/2023-07-04-17_39_33.log,,,
ocaml-22.03,oe_test_ocaml_ocamlc_01,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocamlc_01/2023-07-04-17_44_21.log,,,
ocaml-22.03,oe_test_ocaml_ocamlc_02,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocamlc_02/2023-07-04-17_49_02.log,,,
ocaml-22.03,oe_test_ocaml_ocamlc_03,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocamlc_03/2023-07-04-17_53_26.log,,,
ocaml-22.03,oe_test_ocaml_ocamlc.byte_01,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocamlc.byte_01/2023-07-04-17_57_55.log,,,
ocaml-22.03,oe_test_ocaml_ocamlc.byte_02,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocamlc.byte_02/2023-07-04-18_02_15.log,,,
ocaml-22.03,oe_test_ocaml_ocamlc.byte_03,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocamlc.byte_03/2023-07-04-18_06_40.log,,,
ocaml-22.03,oe_test_ocaml_ocamlc.opt_01,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocamlc.opt_01/2023-07-04-18_15_46.log,,,
ocaml-22.03,oe_test_ocaml_ocamlc.opt_02,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocamlc.opt_02/2023-07-04-18_20_55.log,,,
ocaml-22.03,oe_test_ocaml_ocamlc.opt_03,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocamlc.opt_03/2023-07-04-18_25_42.log,,,
ocaml-22.03,oe_test_ocaml_ocamlcmt,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocamlcmt/2023-07-04-18_10_55.log,,,
ocaml-22.03,oe_test_ocaml_ocamlcp_01,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocamlcp_01/2023-07-04-18_31_08.log,,,
ocaml-22.03,oe_test_ocaml_ocamlcp_02,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocamlcp_02/2023-07-04-18_36_45.log,,,
ocaml-22.03,oe_test_ocaml_ocamlcp_03,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocamlcp_03/2023-07-04-18_42_11.log,,,
ocaml-22.03,oe_test_ocaml_ocamlcp_04,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocamlcp_04/2023-07-04-18_47_16.log,,,
ocaml-22.03,oe_test_ocaml_ocamlcp.byte_01,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocamlcp.byte_01/2023-07-04-18_52_18.log,,,
ocaml-22.03,oe_test_ocaml_ocamlcp.byte_02,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocamlcp.byte_02/2023-07-04-18_56_50.log,,,
ocaml-22.03,oe_test_ocaml_ocamlcp.byte_03,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocamlcp.byte_03/2023-07-04-19_01_30.log,,,
ocaml-22.03,oe_test_ocaml_ocamlcp.byte_04,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocamlcp.byte_04/2023-07-04-19_06_11.log,,,
ocaml-22.03,oe_test_ocaml_ocamlcp.opt_01,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocamlcp.opt_01/2023-07-04-19_10_45.log,,,
ocaml-22.03,oe_test_ocaml_ocamlcp.opt_02,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocamlcp.opt_02/2023-07-04-19_15_15.log,,,
ocaml-22.03,oe_test_ocaml_ocamlcp.opt_03,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocamlcp.opt_03/2023-07-04-19_19_58.log,,,
ocaml-22.03,oe_test_ocaml_ocamlcp.opt_04,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocamlcp.opt_04/2023-07-04-19_24_40.log,,,
ocaml-22.03,oe_test_ocaml_ocamldebug,success,./riscv/logs/ocaml-22.03/oe_test_ocaml_ocamldebug/2023-07-04-19_29_24.log,,,
